Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000u,cap_elect_CS1E102M-CRI13,128.754,-97.691,0,top
C2,10u,C_0805_2012Metric,122.785,-108.74,-90,top
C3,10u,C_0805_2012Metric,121.769,-105.946,180,top
C4,1000u,cap_elect_CS1E102M-CRI13,146.026,-97.818,0,top
C5,10u,C_0805_2012Metric,122.785,-112.296,-90,top
C6,47p,C_0805_2012Metric,142.089,-109.629,0,top
C7,1000u,cap_elect_CS1E102M-CRI13,182.626,-113.058,0,top
C8,1000u,cap_elect_CS1E102M-CRI13,182.626,-99.469,-180,top
J1,Conn_01x03,TerminalBlock_bornier-3_P5.08mm,114.3,-97.79,-90,top
J2,Conn_01x02,TerminalBlock_bornier-2_P5.08mm,195.58,-106.68,-90,top
J3,Conn_01x02,TerminalBlock_bornier-2_P5.08mm,114.3,-114.3,-90,top
Q1,MMBT5401,SOT-23,125.833,-106.454,360,top
Q2,MMBT5401,SOT-23,129.77,-106.454,360,top
Q3,MMBT5401,SOT-23,133.707,-106.454,360,top
Q4,PN2907,TO-92_Inline,168.632,-114.3,180,top
Q5,TIP42C,TO-220-3_Vertical,169.521,-124.4925,180,top
Q6,MMBT5401,SOT-23,145.772,-110.137,360,top
Q7,MMBT5401,SOT-23,138.557,-108.613,90,top
Q8,MMBT5401,SOT-23,125.96,-110.01,360,top
Q9,MMBT3904,SOT-23,149.606,-111.252,270,top
Q10,MMBT5401,SOT-23,142.343,-106.581,360,top
Q11,MMBT5401,SOT-23,145.772,-113.566,360,top
Q12,MMBT3904,SOT-23,149.606,-115.189,90,top
Q13,MMBT3904,SOT-23,130.786,-110.899,180,top
Q14,MMBT3904,SOT-23,134.85,-110.899,180,top
Q15,MMBT3904,SOT-23,125.96,-117.094,180,top
Q16,MMBT3904,SOT-23,138.557,-113.538,270,top
Q17,MMBT5401,SOT-23,153.543,-117.983,90,top
Q18,MMBT3904,SOT-23,142.0368,-113.03,270,top
Q19,MMBT3904,SOT-23,125.96,-120.594,180,top
Q20,MMBT3904,SOT-23,132.564,-117.983,270,top
Q21,MMBT5401,SOT-23,157.226,-118.392,360,top
Q22,PN2222A,TO-92_Inline,164.568,-99.448,0,top
Q23,TIP41C,TO-220-3_Vertical,163.432,-93.639,0,top
R1,1k,R_0805_2012Metric,146.661,-106.581,90,top
R2,1k,R_0805_2012Metric,148.82,-106.581,90,top
R3,4.7k,R_0805_2012Metric,126.849,-113.566,-90,top
R4,1,R_0805_2012Metric,175.006,-109.728,-90,top
R5,1,R_0805_2012Metric,172.974,-109.728,-90,top
R6,1,R_0805_2012Metric,170.942,-109.728,-90,top
R7,1,R_0805_2012Metric,168.91,-109.728,-90,top
R8,1,R_0805_2012Metric,168.91,-106.172,-90,top
R9,1,R_0805_2012Metric,170.942,-106.172,-90,top
R10,1,R_0805_2012Metric,172.946,-106.172,-90,top
R11,1,R_0805_2012Metric,175.006,-106.172,-90,top
R12,100,R_0805_2012Metric,131.548,-114.3,-90,top
R13,100,R_0805_2012Metric,133.7564,-114.3,90,top
R14,100,R_0805_2012Metric,138.533,-118.773,90,top
R15,10k,R_0805_2012Metric,183.237,-120.65,180,top
R16,15k,R_0805_2012Metric,140.946,-118.773,-90,top
R17,100,R_0805_2012Metric,135.636,-118.773,90,top
R18,1k,R_0805_2012Metric,160.401,-119.634,90,top
R19,1k,R_0805_2012Metric,179.7845,-120.65,180,top
R20,0,R_0805_2012Metric,176.2285,-120.65,180,top
RV1,10k,bourns_10k_pot_3306W,182.509,-122.809,-90,top
