Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C7, C8",cap_elect_CS1E102M-CRI13,4,1000u,
"C2, C3, C5",C_0805_2012Metric,3,10u,
C6,C_0805_2012Metric,1,47p,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_Pad,
J1,TerminalBlock_bornier-3_P5.08mm,1,Conn_01x03,
"J2, J3",TerminalBlock_bornier-2_P5.08mm,2,Conn_01x02,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
"Q1, Q10, Q11, Q17, Q2, Q21, Q3, Q6, Q7, Q8",SOT-23,10,MMBT5401,
"Q12, Q13, Q14, Q15, Q16, Q18, Q19, Q20, Q9",SOT-323_SC-70,9,FMMT491,
Q22,TO-92_Inline,1,PN2222A,
Q23,TO-220-3_Vertical,1,TIP41C,
Q4,TO-92_Inline,1,PN2907,
Q5,TO-220-3_Vertical,1,TIP42C,
"R1, R18, R19, R2",R_0805_2012Metric,4,1k,
"R10, R11, R4, R5, R6, R7, R8, R9",R_0805_2012Metric,8,1,
"R12, R13, R14, R17",R_0805_2012Metric,4,100,
R15,R_0805_2012Metric,1,10k,
R16,R_0805_2012Metric,1,15k,
R20,R_0805_2012Metric,1,0,C17477
R3,R_0805_2012Metric,1,4.7k,
